substrate,ko_gene1,ko_gene2,ko_type,ko_reaction,rescue_reaction,rescue_rxn_name,match_key,match_type,rescue_source,rescue_layer,rescue_gene_rule,rescued_biomass,wt_biomass,pct_rescue,n_rescue_variants,n_ko_reactions
Maltose,b0238,b2508,double,XPPT,GPAR; GUAPRT,Guanine phosphoribosyltransferase; GMP:diphosphate 5-phospho-alpha-D-ribosyltransferase,ec:2.4.2.22,ec,iML1515; universal_model,1,b0125 or b0238,1.09925,1.10711,99.3,2,1
Maltose,b0238,b2508,double,XPPT,6MPURPRT; ADPT; HXPRT; MNXR69265; MNXR75331; MNXR75332; MNXR75339; TGUAPRT; r0051,Hypoxanthine phosphoribosyltransferase (Hypoxanthine); Adenine phosphoribosyltransferase; kegg:R08237; kegg:R08238; rhea:17973; kegg:R08245; Thioguanine phosphoribosyltransferase; 6-mercaptopurine phosphoribosyltransferase; AMP:pyrophosphate phosphoribosyltransferase Purine metabolism EC:2.4.2.7,ec:2.4.2.8,ec,iML1515; metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,1,b0238 or b0125,1.09925,1.10711,99.3,9,1
Maltose,b0273,b4254,double,OCBT,OCBT_2,Ornithine carbamoyltransferase,bigg:OCBT,bigg,universal_model,2,,1.10711,1.10711,100.0,1,1
Maltose,b0273,b4254,double,OCBT,MNXR51003; OCBT_1; OCBTm; OCT; OCTh; OCTm,"rhea:19513; Ornithine carbamoyltransferase, irreversible; Ornithine carbamoyltransferase, chloroplast; Ornithine carbamoyltransferase, mitochondrial; Ornithine carbamoyltransferase",ec:2.1.3.3,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,1.10711,1.10711,100.0,6,1
Maltose,b0388,b3390,double,SHKK,SHKK_1,Shikimate kinase,bigg:SHKK,bigg,universal_model,2,,1.10711,1.10711,100.0,1,1
Maltose,b0388,b3390,double,SHKK,MNXR4842; SKK,rhea:13121; Shikimate kinase,ec:2.7.1.71,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,1.10711,1.10711,100.0,2,1
Maltose,b0403,b3417,double,MLTP1; MLTP2; MLTP3,GLCP2; MLTP1; MLTP2; MLTP3; MNXR39735; MNXR39736; MNXR83380; MNXR90452,Maltodextrin phosphorylase (maltohexaose); Maltodextrin phosphorylase (maltopentaose); Glycogen phosphorylase; rhea:29691; rhea:29683; rhea:29647; rhea:29687; Maltodextrin phosphorylase (maltoheptaose),ec:2.4.1.1,ec,iML1515; metanetx_universal_model_bigg_rhea_kegg_brenda,1,b3417,1.10711,1.10711,100.0,8,3
Maltose,b0403,b3417,double,MLTG3; MLTG4; MLTG5,AATHA; DGGH; MALT; MALTe; MALTly; MLTG1; MLTG1e; MLTG1ly; MLTG3; MLTG4; MLTG5; MNXR14508; MNXR26726; MNXR26727; MNXR55721; RE0926E; RE0935E; RE0944E; SAGH; SGHA; SUCR; SUCRe,"Maltodextrin glucosidase (maltotriose); Maltodextrin glucosidase (maltohexaose); Maltodextrin glucosidase (maltoheptaose); metacyc:RXN0-5183; kegg:R00028; rhea:29643; rhea:29639; Alpha D glucoside glucohydrase; Sucrose hydrolyzing enxyme  extracellular; Alpha-glucosidase, lysosomal; Maltodextrin glucosidase (maltotriose), lysosome; Sucrose glucohydrolase (glc-A); Alpha-Amylase; Alpha glucosidase; Sucrose hydrolyzing enzyme; Alpha-glucosidase, extracellular; Maltodextrin glucosidase (maltotriose), extracellular; Alpha,alpha-trehalase (glc-A); Sucrose alpha-glucohydrolase; Maltodextrin glucosidase (maltopentaose)",ec:3.2.1.20,ec,iML1515; metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,1,b0403,1.02299,1.10711,92.4,22,3
Maltose,b0403,b3417,double,MLTG3,BGLA; BG_CELLB; CLBH; MNXR74414; MNXR74415; MNXR84861; MNXR85128,kegg:R05141; kegg:R03801; kegg:R05142; kegg:R01444; Beta-glucosidase; Cellobiose hydrolase; Beta glucosidase  cellobiose ,ec:3.2.1.74,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,1.02299,1.10711,92.4,7,1
Maltose,b0403,b3417,double,MLTG2,RE0915E,Alpha-Amylase,mnx:MNXR101620,mnx,universal_model,2,,1.02299,1.10711,92.4,1,1
Maltose,b0452,b0954,double,FACOAE141; FACOAE161; T2DECAI,FACOAE141; FACOAE161; T2DECAI,Trans-2-decenoyl-ACP isomerase; Fatty-acid-CoA thioesterase (tetradecenoate); Fatty-acid-CoA thioesterase (hexadecenoate),direct_restore,direct_restore,no_library_analogue,0,b0452,1.0932,1.10711,98.7,3,3
Maltose,b0674,b3744,double,ASNS2,MNXR81756,seed:rxn00340,ec:6.3.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,1.10711,1.10711,100.0,1,1
Maltose,b0674,b3744,double,ASNS1; ASNS2,ASNS1; ASNS2; GAM; GLUN; GLUNm; GLUNpp; MNXR33036,Glutaminase; Asparagine synthase (glutamine-hydrolysing); rhea:12228; Glutaminase (mitochondrial); Asparagine synthetase,ec:6.3.5.4,ec,iML1515; metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,1,b0485 or b1524,1.10711,1.10711,100.0,7,2
Maltose,b0763,b2422,double,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,1.10711,1.10711,100.0,4,1
Maltose,b0764,b2423,double,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,1.10711,1.10711,100.0,4,1
Maltose,b0765,b2422,double,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,1.10711,1.10711,100.0,4,1
Maltose,b0767,b3386,double,PGL,MNXR4190; PGLer; PGLh,"rhea:12556; 6-phosphogluconolactonase; 6-phosphogluconolactonase, endoplasmic reticulum",ec:3.1.1.31,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,1.10711,1.10711,100.0,3,1
Maltose,b0767,b3386,double,RPE,MNXR4653; RPEh,rhea:13677; D-Ribulose-5-Phosphate 3-Epimerase,ec:5.1.3.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,1.10711,1.10711,100.0,2,1
Maltose,b0767,b4025,double,PGI,G6PI; G6PI2; G6PI3; G6PI_1; G6PIh; MNXR31472; MNXR35757; MNXR82946; MNXR83637; MNXR91750; PGIA; PGIAh; PGIBh,"seed:rxn02380; rhea:11816; metacyc:RXN-6182; kegg:R00771; metacyc:PGLUCISOM-RXN; Glucose 6 phosphate isomerase; Glucose-6-phosphate isomerase, chloroplast; Glucose-6-phosphate isomerase (g6p-A); Glucose-6-phosphate isomerase, chloroplast (g6p-B); Glucose-6-phosphate isomerase (g6p-B); Glucose-6-phosphate isomerase; Glucose-6-phosphate isomerase, chloroplast (g6p-A)",ec:5.3.1.9,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,1.10711,1.10711,100.0,13,1
Maltose,b0844,b3812,double,PMDPHT,AUS; MNXR4086; MNXR4352; MNXR84819; MNXR84974; MNXR85582; NADPPPSm; NMNHYD; NMNR; NT5C; PAN4PP; PAN4PPe; SBPP1; SBPP1er,"rhea:25197; rhea:36211; kegg:R02706; kegg:R10748; kegg:R00872; NADP phosphatase; Nmn hydrolysis; Sphinganine 1-phosphate phosphatase; Sphingoid base phosphate phosphatase  sphinganine 1 phosphatase   endoplasmic reticulum; Nicotinamide ribonucleotide phosphohydrolase; 5'-nucleotidase; Phosphatase (pan4p); 5-Amino-6-(1-D-ribitylamino)uracil synthase; Phosphatase, Extracellular",ec:3.1.3.-,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,1.10711,1.10711,100.0,14,1
Maltose,b0870,b2320,double,4HTHRA; THRA2,4HTHRA; THRA2,4-hydroxy-L-threonine aldolase; L-allo-Threonine Aldolase,direct_restore,direct_restore,no_library_analogue,0,b0870,1.1071,1.10711,100.0,2,2
Maltose,b0870,b2320,double,PERD,MNXR4160,rhea:18829,ec:1.1.1.290,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,1.1071,1.10711,100.0,1,1
